shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
HWY280_SHP,33.496632,-86.789078,45,
HWY280_SHP,33.495819,-86.788712,46,
HWY280_SHP,33.494308,-86.787552,47,
HWY280_SHP,33.493511,-86.787163,48,
HWY280_SHP,33.493279,-86.787109,49,
HWY280_SHP,33.49139,-86.78688,50,
HWY280_SHP,33.49049,-86.786919,51,
HWY280_SHP,33.488239,-86.786774,52,
HWY280_SHP,33.488239,-86.786774,53,
HWY280_SHP,33.487991,-86.78688,54,
HWY280_SHP,33.486149,-86.787201,55,
HWY280_SHP,33.485081,-86.787331,56,
HWY280_SHP,33.48489,-86.787323,57,
HWY280_SHP,33.48452,-86.787178,58,
HWY280_SHP,33.48428,-86.786987,59,
HWY280_SHP,33.483959,-86.786621,60,
HWY280_SHP,33.48378,-86.786263,61,
HWY280_SHP,33.483681,-86.785721,62,
HWY280_SHP,33.483879,-86.783379,63,
HWY280_SHP,33.483688,-86.780708,64,
HWY280_SHP,33.483582,-86.780289,65,
HWY280_SHP,33.48328,-86.779602,66,
HWY280_SHP,33.482922,-86.778999,67,
HWY280_SHP,33.481419,-86.776787,68,
HWY280_SHP,33.48011,-86.774986,69,
HWY280_SHP,33.47913,-86.774002,70,
HWY280_SHP,33.477169,-86.772499,71,
HWY280_SHP,33.476471,-86.77179,72,
HWY280_SHP,33.475811,-86.77095,73,
HWY280_SHP,33.475319,-86.770103,74,
HWY280_SHP,33.47374,-86.766907,75,
HWY280_SHP,33.471001,-86.761597,76,
HWY280_SHP,33.470119,-86.760201,77,
HWY280_SHP,33.468971,-86.758583,78,
HWY280_SHP,33.468578,-86.758179,79,
HWY280_SHP,33.468189,-86.757889,80,
HWY280_SHP,33.467709,-86.757622,81,
HWY280_SHP,33.467178,-86.757439,82,
HWY280_SHP,33.466591,-86.757317,83,
HWY280_SHP,33.463619,-86.757202,84,
HWY280_SHP,33.462978,-86.757133,85,
HWY280_SHP,33.462399,-86.75695,86,
HWY280_SHP,33.461811,-86.756592,87,
HWY280_SHP,33.461311,-86.756157,88,
HWY280_SHP,33.461029,-86.755814,89,
HWY280_SHP,33.45612,-86.747726,90,
HWY280_SHP,33.455448,-86.746834,91,
HWY280_SHP,33.453621,-86.74472,92,
HWY280_SHP,33.451359,-86.742401,93,
HWY280_SHP,33.450451,-86.741364,94,
