trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
hwy280WD11,,,5points,3,,0,0,
hwy280WD11,16:15:00,16:15:00,summit,4,,0,0,
hwy280WD11,16:30:00,16:30:00,colonnade,5,,0,0,
hwy280WD11,16:43:00,16:43:00,chickfila280,6,,0,0,
hwy280WD11,16:52:00,16:57:00,walmart280,7,,0,0,
hwy280WD11,17:03:00,17:03:00,chickfila280,8,,0,0,
hwy280WD11,17:06:00,17:06:00,marriott280,9,,0,0,
hwy280WD11,17:15:00,17:15:00,colonnade,10,,0,0,
hwy280WD11,17:21:00,17:21:00,summit,11,,0,0,
hwy280WD11,,,5points,12,,0,0,
hwy280WD11,,,MorrisA20S,13,,0,0,
hwy280WD11,17:43:00,17:43:00,central,14,,0,0,
hwy280WD12,16:50:00,16:50:00,central,1,,0,0,
hwy280WD12,,,MorrisA20S,2,,0,0,
hwy280WD12,,,5points,3,,0,0,
hwy280WD12,17:15:00,17:15:00,summit,4,,0,0,
hwy280WD12,17:30:00,17:30:00,colonnade,5,,0,0,
hwy280WD12,17:43:00,17:43:00,chickfila280,6,,0,0,
hwy280WD12,17:52:00,17:57:00,walmart280,7,,0,0,
hwy280WD12,18:03:00,18:03:00,chickfila280,8,,0,0,
hwy280WD12,18:06:00,18:06:00,marriott280,9,,0,0,
hwy280WD12,18:15:00,18:15:00,colonnade,10,,0,0,
hwy280WD12,18:21:00,18:21:00,summit,11,,0,0,
hwy280WD12,,,5points,12,,0,0,
hwy280WD12,,,MorrisA20S,13,,0,0,
hwy280WD12,18:43:00,18:43:00,central,14,,0,0,
hwy280WD13,17:50:00,17:50:00,central,1,,0,0,
hwy280WD13,,,MorrisA20S,2,,0,0,
hwy280WD13,,,5points,3,,0,0,
hwy280WD13,18:15:00,18:15:00,summit,4,,0,0,
hwy280WD13,18:30:00,18:30:00,colonnade,5,,0,0,
hwy280WD13,18:43:00,18:43:00,chickfila280,6,,0,0,
hwy280WD13,18:52:00,18:57:00,walmart280,7,,0,0,
hwy280WD13,19:03:00,19:03:00,chickfila280,8,,0,0,
hwy280WD13,19:06:00,19:06:00,marriott280,9,,0,0,
hwy280WD13,19:15:00,19:15:00,colonnade,10,,0,0,
hwy280WD13,19:21:00,19:21:00,summit,11,,0,0,
hwy280WD13,,,5points,12,,0,0,
hwy280WD13,,,MorrisA20S,13,,0,0,
hwy280WD13,19:43:00,19:43:00,central,14,,0,0,
hwy280WD14,18:50:00,18:50:00,central,1,,0,0,
